train_number,train_name,station_name,departure,source,destination,created_at
26413,Ichalkaranji CENTRAL Patna CENTRAL Superfast,HATHRAS JN,06:32:00,Ichalkaranji CENTRAL,Patna CENTRAL,2024-11-05 21:11:54.001403
40630,Ichalkaranji CENTRAL Patna CENTRAL MMTS,S M V D KATRA,07:01:00,Ichalkaranji CENTRAL,Patna CENTRAL,2025-04-15 21:11:54.001403
87294,BHUBANESWAR KOTTAYAM MMTS,NEW JALPAIGURI,16:16:00,BHUBANESWAR,KOTTAYAM,2025-02-12 21:11:54.001403
87615,BHUBANESWAR KOTTAYAM Shatabdi,RISHIKESH,07:02:00,BHUBANESWAR,KOTTAYAM,2024-11-15 21:11:54.001403
92063,Kota ROAD Tenali CITY Passenger,Tenali JN,21:20:00,Kota ROAD,Tenali CITY,2025-03-02 21:11:54.001403
96617,Kota ROAD Tenali CITY Local,JETALSAR JN,00:55:00,Kota ROAD,Tenali CITY,2024-04-23 21:11:54.001403
34387,Kota ROAD Tenali CITY Local,HINDUPUR,03:10:00,Kota ROAD,Tenali CITY,2025-02-28 21:11:54.001403
50378,Kota ROAD Tenali CITY Local,RAMTEK,09:34:00,Kota ROAD,Tenali CITY,2025-02-07 21:11:54.001403
87763,Kota ROAD Tenali CITY Mail,KALKA,09:16:00,Kota ROAD,Tenali CITY,2025-03-18 21:11:54.001403
96785,BIJAPUR Raichur ROAD Rajdhani,PATHANKOT,07:27:00,BIJAPUR,Raichur ROAD,2024-05-13 21:11:54.001403
94942,BIJAPUR Raichur ROAD Mail,DHULE,21:02:00,BIJAPUR,Raichur ROAD,2025-03-06 21:11:54.001403
68328,BIJAPUR Raichur ROAD Superfast,Allahabad ROAD,22:20:00,BIJAPUR,Raichur ROAD,2024-06-10 21:11:54.002403
31876,BIJAPUR Raichur ROAD Intercity,RAGHURAJ SINGH,19:22:00,BIJAPUR,Raichur ROAD,2025-02-26 21:11:54.002403
23938,Thrissur JN VARANASI JN Passenger,KISHANGANJ,10:26:00,Thrissur JN,VARANASI JN,2024-09-15 21:11:54.002403
20821,Thrissur JN VARANASI JN Superfast,Hubli–Dharwad CENTRAL,01:57:00,Thrissur JN,VARANASI JN,2024-05-08 21:11:54.002403
37149,Thrissur JN VARANASI JN Duronto,NEW JALPAIGURI,15:20:00,Thrissur JN,VARANASI JN,2024-12-16 21:11:54.002403
76042,Thrissur JN VARANASI JN Intercity,BALHARSHAH,07:25:00,Thrissur JN,VARANASI JN,2025-03-13 21:11:54.002403
99313,NANGAL DAM Satna CITY Rajdhani,JAWLMUKHI ROAD,16:13:00,NANGAL DAM,Satna CITY,2024-10-07 21:11:54.002403
97272,NANGAL DAM Satna CITY Shatabdi,CHITTAURGARH,15:53:00,NANGAL DAM,Satna CITY,2025-01-28 21:11:54.002403
12372,TIRODI TIRUNELVELI Shatabdi,SITAPUR CANT,20:42:00,TIRODI,TIRUNELVELI,2024-05-19 21:11:54.002403
45355,TIRODI TIRUNELVELI Passenger,SAHARSA JN,19:47:00,TIRODI,TIRUNELVELI,2025-04-06 21:11:54.002403
77960,TIRODI TIRUNELVELI MMTS,DIBRUGARH TOWN,22:53:00,TIRODI,TIRUNELVELI,2024-06-01 21:11:54.002403
93164,AMBALA CANT JN SATNA Superfast,Sonipat CENTRAL,19:56:00,AMBALA CANT JN,SATNA,2024-09-05 21:11:54.002403
88198,AMBALA CANT JN SATNA Intercity,SURATGARH JN,01:36:00,AMBALA CANT JN,SATNA,2024-09-12 21:11:54.002403
51955,AMBALA CANT JN SATNA MMTS,Hazaribagh CITY,16:28:00,AMBALA CANT JN,SATNA,2025-01-26 21:11:54.002403
82432,AMBALA CANT JN SATNA Mail,KOTTAYAM,09:02:00,AMBALA CANT JN,SATNA,2024-07-26 21:11:54.002403
35836,SULLURUPETA NEW DELHI Shatabdi,BALLIA,19:09:00,SULLURUPETA,NEW DELHI,2024-07-25 21:11:54.002403
46468,SULLURUPETA NEW DELHI Superfast,BUDHMA,14:08:00,SULLURUPETA,NEW DELHI,2024-12-03 21:11:54.002403
52083,SULLURUPETA NEW DELHI Intercity,CHAMARAJANAGAR,07:47:00,SULLURUPETA,NEW DELHI,2024-05-06 21:11:54.002403
21147,SULLURUPETA NEW DELHI Local,BADARPUR JN,07:40:00,SULLURUPETA,NEW DELHI,2025-03-14 21:11:54.002403
99100,SURENDRANAGAR CHENNAI EGMORE Shatabdi,KHURJA JN,18:49:00,SURENDRANAGAR,CHENNAI EGMORE,2024-08-01 21:11:54.002403
50690,SURENDRANAGAR CHENNAI EGMORE Superfast,BHOPAL JN,23:02:00,SURENDRANAGAR,CHENNAI EGMORE,2024-06-02 21:11:54.002403
87389,SURENDRANAGAR CHENNAI EGMORE MMTS,CHANDIA ROAD,07:34:00,SURENDRANAGAR,CHENNAI EGMORE,2024-07-21 21:11:54.002403
